Species,Island,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo)
0,1,39.1,18.7,181.0,3750.0,0,8.859732765957446,-25.804193758865246
0,1,39.5,17.4,186.0,3800.0,1,8.94956,-24.69454
0,1,40.3,18.0,195.0,3250.0,1,8.36821,-25.33302
0,1,36.7,19.3,193.0,3450.0,1,8.76651,-25.32426
0,1,39.3,20.6,190.0,3650.0,0,8.66496,-25.29805
0,1,38.9,17.8,181.0,3625.0,1,9.18718,-25.21799
0,1,39.2,19.6,195.0,4675.0,0,9.4606,-24.89958
0,1,34.1,18.1,193.0,3475.0,1,8.859732765957446,-25.804193758865246
0,1,42.0,20.2,190.0,4250.0,0,9.13362,-25.09368
0,1,37.8,17.1,186.0,3300.0,1,8.63243,-25.21315
0,1,37.8,17.3,180.0,3700.0,0,8.859732765957446,-25.804193758865246
0,1,41.1,17.6,182.0,3200.0,1,8.859732765957446,-25.804193758865246
0,1,38.6,21.2,191.0,3800.0,0,8.859732765957446,-25.804193758865246
0,1,34.6,21.1,198.0,4400.0,0,8.55583,-25.22588
0,1,36.6,17.8,185.0,3700.0,1,8.859732765957446,-25.804193758865246
0,1,38.7,19.0,195.0,3450.0,1,9.18528,-25.06691
0,1,42.5,20.7,197.0,4500.0,0,8.67538,-25.13993
0,1,34.4,18.4,184.0,3325.0,1,8.47827,-25.23319
0,1,46.0,21.5,194.0,4200.0,0,9.11616,-24.77227
0,2,37.8,18.3,174.0,3400.0,1,8.73762,-25.09383
0,2,37.7,18.7,180.0,3600.0,0,8.66271,-25.0639
0,2,35.9,19.2,189.0,3800.0,1,9.22286,-25.03474
0,2,38.2,18.1,185.0,3950.0,0,8.43423,-25.22664
0,2,38.8,17.2,180.0,3800.0,0,9.63954,-25.29856
0,2,35.3,18.9,187.0,3800.0,1,9.21292,-24.3613
0,2,40.6,18.6,183.0,3550.0,0,8.93997,-25.36288
0,2,40.5,17.9,187.0,3200.0,1,8.08138,-25.49448
0,2,37.9,18.6,172.0,3150.0,1,8.38404,-25.19837
0,2,40.5,18.9,180.0,3950.0,0,8.90027,-25.11609
0,0,39.5,16.7,178.0,3250.0,1,9.69756,-25.11223
0,0,37.2,18.1,178.0,3900.0,0,9.72764,-25.0102
0,0,39.5,17.8,188.0,3300.0,1,9.66523,-25.0602
0,0,40.9,18.9,184.0,3900.0,0,8.79665,-25.14591
0,0,36.4,17.0,195.0,3325.0,1,9.17847,-25.23061
0,0,39.2,21.1,196.0,4150.0,0,9.15308,-25.03469
0,0,38.8,20.0,190.0,3950.0,0,9.18985,-25.12255
